column1,name,serving_size,calories,total_fat,cholesterol,sodium,protein,histidine,isoleucine,leucine,lysine,methionine,phenylalanine,threonine,valine,saturated_fatty_acids,fatty_acids_total_trans
36,Emu raw outside drum,100 g,103,0.5g,78mg,100.00 mg,23.08 g,0.505 g,0.750 g,1.274 g,1.358 g,0.438 g,0.659 g,0.662 g,0.769 g,0.122 g,78.00 mg
37,Nuts dried beechnuts,100 g,576,50g,0,38.00 mg,6.20 g,0.172 g,0.245 g,0.367 g,0.367 g,0.146 g,0.262 g,0.221 g,0.346 g,5.719 g,0.00 mg
38,Currants dried zante,100 g,283,0.3g,0,8.00 mg,4.08 g,0,0,0,0,0,0,0,0,0.028 g,0.00 mg
39,Lentils raw sprouted,100 g,106,0.6g,0,11.00 mg,8.96 g,0.257 g,0.326 g,0.628 g,0.712 g,0.105 g,0.442 g,0.328 g,0.399 g,0.057 g,0.00 mg
40,Gravy mix dry onion,100 g,322,3g,2mg,4186.00 mg,9.00 g,0,0,0,0,0,0,0,0,1.860 g,2.00 mg
41,Pie fruit fried pies,100 g,316,16g,0,333.00 mg,3.00 g,0.062 g,0.120 g,0.211 g,0.121 g,0.052 g,0.138 g,0.089 g,0.138 g,2.457 g,0.00 mg
42,Snacks cakes popcorn,100 g,384,3.1g,0,288.00 mg,9.70 g,0.280 g,0.372 g,1.053 g,0.312 g,0.210 g,0.488 g,0.363 g,0.523 g,0.480 g,0.00 mg
43,Snack Mixed Berry Bar,100 g,383,11g,0,447.00 mg,13.16 g,0,0,0,0,0,0,0,0,3.846 g,0.00 mg
44,Fish raw sheepshead,100 g,108,2.4g,50mg,71.00 mg,20.21 g,0.595 g,0.931 g,1.643 g,1.856 g,0.598 g,0.789 g,0.886 g,1.041 g,0.609 g,50.00 mg
45,Babyfood pear juice,100 g,47,0g,0,8.00 mg,0.00 g,0,0,0,0,0,0,0,0,0.000 g,0.00 mg
46,Brussels sprouts raw,100 g,43,0.3g,0,25.00 mg,3.38 g,0.076 g,0.132 g,0.152 g,0.154 g,0.032 g,0.098 g,0.120 g,0.155 g,0.062 g,0.00 mg
47,Broccoli raab cooked,100 g,33,0.5g,0,56.00 mg,3.83 g,0.080 g,0.125 g,0.206 g,0.239 g,0.058 g,0.154 g,0.128 g,0.184 g,0.057 g,0.00 mg
48,Butter oil anhydrous,100 g,876,99g,256mg,2.00 mg,0.28 g,0.008 g,0.017 g,0.027 g,0.022 g,0.007 g,0.014 g,0.013 g,0.019 g,61.924 g,256.00 mg
49,Chicory raw witloof,100 g,17,0.1g,0,2.00 mg,0.90 g,0.015 g,0.054 g,0.039 g,0.035 g,0.005 g,0.022 g,0.025 g,0.041 g,0.024 g,0.00 mg
50,KEEBLER Waffle Cones,100 g,424,5.3g,0,149.00 mg,6.50 g,0,0,0,0,0,0,0,0,0.860 g,0
51,KEEBLER Waffle Bowls,100 g,424,5.3g,0,149.00 mg,6.50 g,0,0,0,0,0,0,0,0,0.860 g,0
52,Broccoli raw leaves,100 g,28,0.4g,0,27.00 mg,2.98 g,0.050 g,0.109 g,0.131 g,0.141 g,0.034 g,0.084 g,0.091 g,0.128 g,0.054 g,0.00 mg
53,Durian raw or frozen,100 g,147,5.3g,0,2.00 mg,1.47 g,0,0,0,0,0,0,0,0,0,0.00 mg
54,Tomatoes raw orange,100 g,16,0.2g,0,42.00 mg,1.16 g,0.018 g,0.027 g,0.042 g,0.042 g,0.010 g,0.030 g,0.029 g,0.030 g,0.025 g,0.00 mg
55,Tomatoes raw yellow,100 g,15,0.3g,0,23.00 mg,0.98 g,0.015 g,0.023 g,0.036 g,0.036 g,0.008 g,0.025 g,0.024 g,0.025 g,0.036 g,0.00 mg
56,Egg custards dry mix,100 g,410,6.4g,258mg,281.00 mg,6.90 g,0.156 g,0.368 g,0.623 g,0.553 g,0.153 g,0.261 g,0.401 g,0.381 g,2.030 g,258.00 mg
57,Peanut flour low fat,100 g,428,22g,0,1.00 mg,33.80 g,0.854 g,1.188 g,2.191 g,1.213 g,0.415 g,1.752 g,1.158 g,1.418 g,3.040 g,0.00 mg
58,Fish smoked haddock,100 g,116,1g,77mg,763.00 mg,25.23 g,0.743 g,1.162 g,2.050 g,2.317 g,0.747 g,0.985 g,1.106 g,1.300 g,0.173 g,77.00 mg
59,DENNY'S french fries,100 g,282,14g,0,44.00 mg,3.41 g,0.050 g,0.121 g,0.192 g,0.141 g,0.040 g,0.151 g,0.111 g,0.303 g,2.534 g,0.00 mg
60,Ground turkey cooked,100 g,203,10g,93mg,78.00 mg,27.37 g,0.811 g,1.227 g,2.262 g,2.452 g,0.806 g,1.068 g,1.258 g,1.270 g,2.669 g,93.00 mg
61,MURRAY Vanilla Wafer,100 g,461,17g,1mg,401.00 mg,4.00 g,0,0,0,0,0,0,0,0,5.700 g,1.00 mg
62,WENDY'S french fries,100 g,301,14g,0,219.00 mg,3.73 g,0,0,0,0,0,0,0,0,2.790 g,0
63,Bread toasted wheat,100 g,313,4.3g,0,601.00 mg,12.96 g,0.150 g,0.258 g,0.461 g,0.215 g,0.105 g,0.315 g,0.299 g,0.310 g,0.989 g,0.00 mg
64,Danish pastry cheese,100 g,374,22g,23mg,417.00 mg,8.00 g,0.205 g,0.371 g,0.644 g,0.430 g,0.174 g,0.402 g,0.293 g,0.412 g,6.794 g,23.00 mg
65,Nuts glazed walnuts,100 g,500,36g,0,446.00 mg,8.28 g,0,0,0,0,0,0,0,0,3.571 g,0.00 mg
66,Spices garlic powder,100 g,331,0.7g,0,60.00 mg,16.55 g,0.263 g,0.414 g,0.728 g,0.768 g,0.111 g,0.525 g,0.374 g,0.667 g,0.249 g,0.00 mg
67,Oil soybean lecithin,100 g,763,100g,0,0.00 mg,0.00 g,0,0,0,0,0,0,0,0,15.005 g,0.00 mg
68,Egg fresh raw yolk,100 g,322,27g,1085mg,48.00 mg,15.86 g,0.416 g,0.866 g,1.399 g,1.217 g,0.378 g,0.681 g,0.687 g,0.949 g,9.551 g,1085.00 mg
69,Fireweed raw leaves,100 g,103,2.8g,0,34.00 mg,4.71 g,0,0,0,0,0,0,0,0,0,0.00 mg
70,Beef pastrami cured,100 g,147,5.8g,68mg,1078.00 mg,21.80 g,0.684 g,0.976 g,1.706 g,1.812 g,0.558 g,0.847 g,0.857 g,1.065 g,2.681 g,68.00 mg
71,Frankfurter meatless,100 g,233,14g,0,471.00 mg,19.61 g,0,0,0,0,0,0,0,0,1.653 g,0.00 mg
72,Emu raw flat fillet,100 g,102,0.7g,71mg,150.00 mg,22.25 g,0.487 g,0.723 g,1.228 g,1.309 g,0.422 g,0.635 g,0.638 g,0.741 g,0.187 g,71.00 mg
73,Emu raw inside drum,100 g,108,1.5g,67mg,102.00 mg,22.22 g,0.486 g,0.722 g,1.226 g,1.307 g,0.421 g,0.634 g,0.637 g,0.740 g,0.386 g,67.00 mg
74,Ice creams chocolate,100 g,216,11g,34mg,76.00 mg,3.80 g,0,0,0,0,0,0,0,0,6.800 g,34.00 mg
